,IMO,Name,Ship type,Technical efficiency,Ice Class,Total fuel consumption [m tonnes],Fuel consumptions assigned to On laden [m tonnes],Total CO₂ emissions [m tonnes],CO₂ emissions from all voyages between ports under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages to ports under a MS jurisdiction [m tonnes],CO₂ emissions which occurred within ports under a MS jurisdiction at berth [m tonnes],CO₂ emissions assigned to Passenger transport [m tonnes],CO₂ emissions assigned to Freight transport [m tonnes],CO₂ emissions assigned to On laden [m tonnes],Annual Time spent at sea [hours],Annual average Fuel consumption per distance [kg / n mile],Annual average Fuel consumption per transport work (mass) [g / m tonnes · n miles],Annual average Fuel consumption per transport work (volume) [g / m³ · n miles],Annual average Fuel consumption per transport work (dwt) [g / dwt carried · n miles],Annual average CO₂ emissions per distance [kg CO₂ / n mile],Annual average CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles],Annual average CO₂ emissions per transport work (volume) [g CO₂ / m³ · n miles],Annual average CO₂ emissions per transport work (dwt) [g CO₂ / dwt carried · n miles],Through ice [n miles],Time spent at sea [hours],Total time spent at sea through ice [hours],Fuel consumption per distance on laden voyages [kg / n mile],Fuel consumption per transport work (mass) on laden voyages [g / m tonnes · n miles],Fuel consumption per transport work (volume) on laden voyages [g / m³ · n miles],Fuel consumption per transport work (dwt) on laden voyages [g / dwt carried · n miles],Fuel consumption per transport work (pax) on laden voyages [g / pax · n miles],Fuel consumption per transport work (freight) on laden voyages [g / m tonnes · n miles],CO₂ emissions per distance on laden voyages [kg CO₂ / n mile],CO₂ emissions per transport work (mass) on laden voyages [g CO₂ / m tonnes · n miles],CO₂ emissions per transport work (volume) on laden voyages [g CO₂ / m³ · n miles],CO₂ emissions per transport work (dwt) on laden voyages [g CO₂ / dwt carried · n miles],CO₂ emissions per transport work (pax) on laden voyages [g CO₂ / pax · n miles],CO₂ emissions per transport work (freight) on laden voyages [g CO₂ / m tonnes · n miles],Additional information to facilitate the understanding of the reported average operational energy efficiency indicators,Average density of the cargo transported [m tonnes / m³],name,ship_type,length,breadth,draught,year_built,gross_tonnage,deadweight,engine_type,engine_model,engine_power,max_speed,avg_speed
3618,9351153,SONREIRAS,General cargo ship,EIV (16.2 gCO₂/t·nm),IA,1222.59,1222.59,3886.88,965.18,1399.73,1553.82,199.34,,,3886.88,3418.98,32.73,8.22,,4.22,104.06,26.14,,13.43,,3418.98,,39.09,8.22,,4.22,,,124.29,26.14,,13.43,,,,,SONREIRAS,General cargo ship,119.0,15.0,,2007.0,5057.0,7750.0,MAK,8M32C,3840 KW,,
3619,9351165,ELIF TUBA,Oil tanker,EIV (11.93 gCO₂/t·nm),,89.31,,286.33,0.0,110.29,131.8,44.24,,,,153.05,53.9,10.59,,,172.8,33.96,,,,153.05,,,,,,,,,,,,,,,,ELIF TUBA,Oil tanker,128.0,20.0,8.5 m,2007.0,8539.0,13011.0,MAN,6S35,4440 KW,11.8,11.8
3620,9351218,TASMAN STRAIT,Container ship,EIV (23.84 gCO₂/t·nm),,6054.84,,18972.93,6647.05,2981.29,8022.2,1322.4,,,,4846.38,109.34,8.22,,,342.63,25.75,,,,4846.38,,,,,,,,,,,,,,,,TASMAN STRAIT,Container ship,175.0,27.0,9 m,2008.0,18123.0,22314.0,B&W,7S60MC-C,16000 KW,11.8,8.5
3621,9351414,HELLESPONT PRIDE,Oil tanker,EIV (4.96 gCO₂/t·nm),,1532.78,1378.9,4847.37,206.15,2005.41,2348.62,287.19,,,4354.03,1077.11,116.87,2.49,,,369.61,7.89,,,,1077.11,,109.37,2.24,,,,,345.34,7.08,,,,,,,HELLESPONT PRIDE,Oil tanker,228.0,32.0,---,2006.0,42010.0,73727.0,,,,---,---
3622,9351426,HELLESPONT PROGRESS,Oil tanker,EIV (4.96 gCO₂/t·nm),,1104.47,956.27,3494.04,0.0,1081.57,1937.34,475.13,,,3018.91,594.1,149.21,3.22,,,472.04,10.18,,,,594.1,,129.19,2.79,,,,,407.85,8.8,,,,,,,HELLESPONT PROGRESS,Oil tanker,229.0,32.0,8.2 m,2006.0,42010.0,73727.0,,,,17,11.4
3623,9351438,HELLESPONT PROMISE,Oil tanker,EIV (4.96 gCO₂/t·nm),,3340.95,2725.65,10574.31,1904.1,2202.45,5390.66,1077.11,,,8608.32,2081.74,142.76,2.49,,,451.84,7.89,,,,2081.74,,124.26,2.03,,,,,392.45,6.43,,,,,,,HELLESPONT PROMISE,Oil tanker,228.0,32.0,8.2 m,2007.0,42010.0,73669.0,,,,13.8,13.3
3624,9351440,SAND SHINER,Oil tanker,EIV (4.86 gCO₂/t·nm),,2896.62,2756.44,9068.35,0.0,4119.97,4498.96,449.42,,,8618.93,2027.59,120.16,2.91,,,376.19,9.12,,,,2027.59,,114.35,2.77,,,,,357.55,8.67,,,,,,,SAND SHINER,Oil tanker,228.0,32.0,8 m,2006.0,42204.0,73715.0,MAN-B&W,5S60MC-C,13560 KW,15.2,9.6
3625,9351476,CRUISE ROMA,Ro-pax ship,EIV (19.21 gCO₂/t·nm),,48620.1,,151525.77,147880.99,0.0,0.0,3646.06,103037.63,48488.14,,5723.24,346.95,,,,1081.28,,,,,5723.24,,,,,,,,,,,,,,,,CRUISE ROMA,Ro-pax ship,253.0,30.0,6.4 m,2008.0,54310.0,7500.0,,,,23.3,22.5
3626,9351488,CRUISE BARCELONA,Ro-pax ship,EIV (19.21 gCO₂/t·nm),,49198.2,,153314.58,149707.93,0.0,0.0,3606.85,104253.99,49060.59,,5745.62,350.84,,,,1093.32,,,,,5745.62,,,,,,,,,,,,,,,,CRUISE BARCELONA,Ro-pax ship,253.0,30.0,6.9 m,2008.0,54310.0,5000.0,,,,23,21.9
3627,9351490,CRUISE EUROPA,Ro-pax ship,EIV (19.21 gCO₂/t·nm),,31972.9,,99730.31,95998.6,0.0,0.0,3731.8,65821.97,33908.34,,5165.6,282.5,,,,881.18,,,,,5165.6,,,,,,,,,,,,,,,,CRUISE EUROPA,Ro-pax ship,225.0,30.0,6.7 m,2009.0,54310.0,8351.0,,,,20.8,19.8
3628,9351505,CRUISE SARDEGNA,Ro-pax ship,EIV (19.21 gCO₂/t·nm),,29589.1,,92323.52,88312.67,0.0,0.0,4010.87,60933.5,31390.02,,5235.75,278.13,,,,867.83,,,,,5235.75,,,,,,,,,,,,,,,,CRUISE SARDEGNA,Ro-pax ship,225.0,30.0,6.6 m,2010.0,54310.0,8351.0,,,,21.7,20.9
3629,9351529,RINELLA M,Oil tanker,EIV (8.95 gCO₂/t·nm),,3281.07,,10290.51,4305.07,1929.73,2082.88,1971.87,,,,3161.4,114.01,7.64,,,357.56,23.97,,,,3161.4,,,,,,,,,,,,,,,,RINELLA M,Oil tanker,180.0,32.0,10.1 m,2006.0,25864.0,40441.0,,,,7.2,3.7
3630,9351531,STOLT ZULU,Chemical tanker,EIV (10.8 gCO₂/t·nm),,1181.0,,3682.85,0.0,0.0,3634.95,47.9,,,,1192.79,77.13,3.8,,,240.52,11.84,,,,1192.79,,,,,,,,,,,,,,,,STOLT ZULU,Chemical tanker,158.0,25.0,9.6 m,2006.0,16442.0,25197.0,,,,17.7,13.1
3631,9351543,STOLT BASUTO,Chemical tanker,EIV (10.8 gCO₂/t·nm),,2837.7,,8905.55,1704.28,3057.61,3187.35,956.3,,,,3441.92,90.19,4.65,,,283.04,14.59,,,,3441.92,,,,,,,,,,,,,,,,STOLT BASUTO,Chemical tanker,158.0,25.0,8 m,2006.0,16442.0,25197.0,,,,14.7,11.7
3632,9351567,STEN NORDIC,Oil tanker,EIV (14.48 gCO₂/t·nm),IA,2230.23,,7150.12,3052.72,1301.7,1513.62,1282.08,,,,3377.88,68.51,8.58,,,219.63,27.51,,,0.0,3377.88,0.0,,,,,,,,,,,,,,,STEN NORDIC,Oil tanker,144.0,23.0,8.7 m,2005.0,11935.0,16657.0,Wartsila,6L46C,6300 KW,14.2,11.7
3633,9351579,MSC TAMARA,Container ship,EIV (18.59 gCO₂/t·nm),,13987.63,,43587.9,5234.97,20164.32,16850.39,1338.23,,,,5198.6,188.22,6.47,,,586.53,20.16,,,,5198.6,,,,,,,,,,,,,,,,MSC TAMARA,Container ship,264.0,32.0,12.5 m,2008.0,41225.0,53335.0,MAN-B&W,8K90MC-C,36990 KW,14,10.2
3634,9351581,MSC KIM,Container ship,EIV (21.64 gCO₂/t·nm),,7182.18,,22649.02,2565.83,5130.47,14289.33,663.39,,,,2316.8,204.36,5.41,,,644.45,17.07,,,,2316.8,,,,,,,,,,,,,,,,MSC KIM,Container ship,265.0,32.0,8.1 m,2008.0,41225.0,53436.0,,,,10,10
3635,9351593,MSC ANGELA,Container ship,EIV (21.64 gCO₂/t·nm),,15836.18,,49420.48,3905.73,21796.8,22441.38,1276.57,,,,5350.4,193.26,6.53,,,603.12,20.38,,,,5350.4,,,,,,,,,,,,,,,,MSC ANGELA,Container ship,265.0,32.0,9 m,2008.0,41225.0,53457.0,B&W,8K90MC,36560 KW,19.8,13
3636,9351634,NAVE EQUINOX,Oil tanker,EIV (8.02 gCO₂/t·nm),,4761.47,,15088.08,571.66,6966.0,7054.57,495.84,,,,4336.37,93.82,4.31,,,297.3,13.66,,,,4336.37,,,,,,,,,,,,,,,,NAVE EQUINOX,Oil tanker,183.0,32.0,6.5 m,2007.0,30119.0,50922.0,,,,15.1,10.9
3637,9351763,PONENTE,Bulk carrier,EIV (3.63 gCO₂/t·nm),,1325.01,,4206.16,0.0,2312.26,1866.66,27.25,,,,1263.1,91.63,2.86,,,290.88,9.09,,,,1263.1,,,,,,,,,,,,,,,,PONENTE,Bulk carrier,228.0,32.0,6.9 m,2006.0,42887.0,83051.0,,,,11.8,9
3638,9351921,IVER PROSPERITY,Chemical tanker,EIV (14.45 gCO₂/t·nm),,563.3,,1805.94,0.0,907.94,866.9,31.1,,,,511.6,83.23,5.69,,,266.84,18.25,,,,511.6,,,,,,,,,,,,,,,,IVER PROSPERITY,Chemical tanker,184.0,27.0,7.4 m,2007.0,23421.0,37456.0,Sulzer,6RT-FLEX50B,8262 KW,14.4,10.5
3639,9351933,DONGBANG GIANT NO. 1,Other ship types,Not Applicable,,2549.61,,8058.14,0.0,4090.63,3848.74,118.78,,,,3688.4,70.51,,,35.92,222.85,,,113.52,,3688.4,,,,,,,,,,,,,,,,DONGBANG GIANT NO. 1,Other ship types,136.0,32.0,,2006.0,8521.0,11394.0,,,,,
3640,9352133,CARIBE LIZA,Chemical tanker,EIV (10.05 gCO₂/t·nm),,198.4,131.3,623.74,102.41,47.9,308.4,165.02,,,410.81,278.05,77.24,9.02,,,242.83,28.36,,,,278.05,,58.3,5.97,,,,,182.41,18.68,,,,,,,CARIBE LIZA,Chemical tanker,128.0,20.0,8.3 m,2006.0,8545.0,13157.0,,,,12,9.3
3641,9352195,LUGANO,Chemical tanker,EIV (12.95 gCO₂/t·nm),IA,3396.57,1632.79,10867.03,793.69,4777.36,4220.99,1074.97,,,5216.8,3919.4,81.84,5.53,,,261.85,17.68,,,,3919.4,,77.68,2.66,,,,,248.2,8.49,,,,,,,LUGANO,Chemical tanker,183.0,27.0,,2007.0,23304.0,37159.0,MAN-B&W,6S70MC-C,11069 KW,,
3642,9352200,STOLT SAGALAND,Chemical tanker,EIV (7.96 gCO₂/t·nm),,2569.1,,8042.91,5.45,3203.55,3466.34,1367.56,,,,1756.66,136.76,7.94,,,428.16,24.87,,,,1756.66,,,,,,,,,,,,,,,,STOLT SAGALAND,Chemical tanker,182.0,32.0,6.9 m,2008.0,25884.0,44044.0,,,,14.1,10.6
3643,9352212,STOLT SNELAND,Chemical tanker,EIV (7.96 gCO₂/t·nm),,3549.8,,11103.41,2206.6,4633.53,3186.33,1076.96,,,,2750.48,119.16,6.42,,,372.72,20.08,,,,2750.48,,,,,,,,,,,,,,,,STOLT SNELAND,Chemical tanker,182.0,32.0,12 m,2008.0,25884.0,44080.0,B&W,,,16.4,11.8
3644,9352298,SEACONGER,Oil tanker,EIV (8.24 gCO₂/t·nm),IA,3750.73,1899.32,11945.11,2065.14,3753.42,5142.6,983.97,,,6040.41,3393.6,101.42,6.92,,,323,22.04,,,0.0,3393.6,0.0,93.55,3.5,,,,,297.52,11.14,,,,,,,SEACONGER,Oil tanker,177.0,28.0,7.2 m,2005.0,21329.0,32200.0,MAN-B&W,6L32/40,8800 KW,14.2,9.9
